2026-08-24 12:59:32 | PRESS | h
2026-08-24 12:59:33 | PRESS | o
2026-08-24 12:59:34 | PRESS | l
2026-08-24 12:59:34 | PRESS | a
2026-08-24 12:59:35 | PRESS | Key.space
2026-08-24 12:59:35 | PRESS | m
2026-08-24 12:59:35 | PRESS | e
2026-08-24 12:59:36 | PRESS | l
2026-08-24 12:59:36 | PRESS | a
2026-08-24 12:59:36 | PRESS | n
2026-08-24 12:59:36 | PRESS | i
2026-08-24 12:59:37 | PRESS | e
2026-08-24 12:59:38 | PRESS | Key.enter
2026-08-24 12:59:53 | PRESS | x
2026-08-24 12:59:53 | PRESS | d
2026-08-24 13:00:05 | PRESS | a
2026-08-24 13:00:06 | PRESS | d
2026-08-24 13:00:06 | PRESS | i
2026-08-24 13:00:06 | PRESS | o
2026-08-24 13:00:06 | PRESS | s
2026-08-24 13:00:07 | PRESS | Key.space
2026-08-24 13:00:08 | PRESS | m
2026-08-24 13:00:08 | PRESS | e
2026-08-24 13:00:08 | PRESS | l
2026-08-24 13:00:09 | PRESS | a
2026-08-24 13:00:09 | PRESS | n
2026-08-24 13:00:09 | PRESS | i
2026-08-24 13:00:09 | PRESS | e
